final_block,count,median,mean,min,max
1,300,0.051876272528250666,-0.050563724469442795,-9.869278066632958,15.977404348765333
2,300,-1.664009258188609,-0.6727167458898763,-8.510617396738008,14.123985381136595
3,300,-0.837053182512365,-0.6238208643978586,-12.735055388937266,8.618087175204403
4,300,0.8450788554582811,1.1185622682622078,-9.452609582103587,15.423830064124067
5,300,-1.1561747955100399,-1.3034370478424442,-13.354461435840914,6.682682310305421
6,300,2.2250664454340097,3.0160801162182507,-14.59852348980959,21.505616080086476
7,300,-0.48770705855804564,0.3284140582852395,-8.351481023662966,11.116421821608657
8,300,-1.6255897663730978,-0.9182332826887597,-8.278264485255226,11.595216492698434
9,300,1.0398303224929184,1.1436020103923716,-12.94206856840676,6.374871828223427
10,300,1.9026860800442247,1.4822676677889228,-7.780699705517713,13.225846747055247
