transaction_id,High,Low,Medium,expected_order
002b9f71-04f1-5937-9c16-3470136dd6dc,34.735521,59.558783,47.279159,True
006ca6d7-2113-5e40-8812-de583cc5c117,35.192886,59.519256,48.003524,True
006ec7c4-7bbd-55ba-9138-807e1c4c988e,36.525243,58.628935,46.216302,True
0087127e-c89f-572e-972a-057dd92716c6,32.302378,51.480569,40.907439,True
011ecbf6-dc71-5b19-b123-7c2fb2411afa,34.016948,56.292347,46.997789,True
01440b5a-8496-54c3-acb3-e315e21312d5,32.080032,50.804875,40.944555,True
01c21ab9-0508-5411-a641-0f98dacce6ba,30.659332,52.632105,40.643008,True
027edc78-b22f-5a49-8bea-93a58d26fd20,20.522681,37.720026,27.884205,True
02f15c4d-03d8-5ae0-8951-33b67a411614,21.638728,39.44726,28.885096,True
030ad86f-64cb-5dc0-b815-5c6c312ed82a,30.98147,50.496427,41.697494,True
0312ed91-0dbc-53d9-9595-9a0bb2c6ad4c,24.249899,41.019319,31.195826,True
0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,20.584487,35.328827,28.191534,True
034ace7a-2692-5f1c-b3e6-e789af5d2944,34.49264,59.85752,44.567274,True
03772058-7cd6-5f74-aea1-f5639c71f661,34.731139,59.610018,45.675302,True
03800b45-8301-53c2-9f30-6b7dd80497ae,21.161629,31.401046,27.246777,True
03c2d846-b2d7-57e1-8ffc-2c800782ab44,27.190341,42.573071,37.59729,True
04147f2c-067b-5551-99e6-2a9106a91ad3,21.250065,35.748624,27.548608,True
044c92c1-f354-5ff1-b135-2fda326aba5d,35.492888,57.666637,47.761104,True
048c2934-3022-5d0d-a6ea-c03796b449ed,28.174795,45.633336,36.958512,True
05089c32-86d3-566e-8442-8504f02a4fdf,24.204766,39.51519,33.547559,True
052c87ae-edb7-509d-ad69-c6647c7988eb,31.480106,51.042453,40.121395,True
0531499a-3c32-5e9e-a341-4315f9e6ccf4,34.18875,57.113029,44.596166,True
056650cb-a96b-5432-815e-2fcc7faddedd,31.488615,51.421558,40.377996,True
05fbb944-dcb6-57f8-b0a9-9028d6250294,32.861591,51.296114,41.068831,True
060ffd69-8ab6-5349-a202-db2e986ce3b8,34.075977,57.117874,44.450174,True
070e8076-9505-57fa-9781-f3f170b49d1c,36.986262,58.010082,43.985017,True
077472d9-90f6-5173-aaeb-5fa51f9684f5,34.133379,57.530325,43.769847,True
07960d88-70bc-5a15-bc6d-8b89673096e9,28.038303,48.015214,36.260674,True
07b89b9e-50a4-5022-8e6d-b89b3f761a1c,29.875414,44.096905,35.731551,True
082079e6-26f0-5c4a-88c0-058ade7de1c8,31.983782,52.912644,40.30579,True
08b6ccb9-f02d-50fb-b837-bcda2a1486b0,36.700276,57.855716,46.18846,True
08d70150-f884-57a0-933c-1f31c5bcee5f,27.420095,46.868344,38.250091,True
092b61d7-aa22-505b-add5-4f5b5d3a74d7,25.128322,39.552689,31.253999,True
096b21bc-bbb4-5254-b3e5-e130aff24b8f,33.040349,53.203791,40.5154,True
09ac347b-27bc-511e-b961-ac76c23466ef,21.808168,35.080446,28.039591,True
0a3f3df4-0b7b-54d1-af8d-ddb185924247,21.215788,33.391872,28.118014,True
0a621106-076a-5b26-9318-2ee62727e903,20.49485,32.865745,26.556575,True
0a70e6cc-59dd-5d07-beff-0e3313451a1b,24.14003,41.575281,30.994726,True
0a867ee4-d35f-5013-a1a6-110ac16ed1a1,21.225072,32.144327,27.408373,True
0ab40aab-3aaf-5c69-844a-986afe70651d,34.709768,55.992337,47.416098,True
0b09dc7b-5678-5f2c-85d5-aae0d3822444,37.382746,58.074827,44.231505,True
0b1b6c93-e198-5fe7-8c52-ce99b8aa8761,29.37451,43.432928,39.216224,True
0ba231bc-5c82-5feb-a1e8-c4074ee665f2,20.728207,36.776397,27.901964,True
0bd78f65-b6c9-5916-8278-ccecc0039ab2,20.465832,33.431226,27.521194,True
0bdb3baa-dd01-5350-90a7-4d8ca40094a2,25.198903,39.962074,31.465343,True
0ca950b2-a3e8-556d-92b0-6dcc731da193,31.238993,52.936157,40.429323,True
0d16b314-ccdd-53d5-91dc-8cead500f4c4,29.495682,46.413155,37.413018,True
0d72aa38-cac4-521a-9625-5e0d947720f7,20.76558,33.259435,27.560799,True
0d7abbb4-76d9-502c-a2c5-a9575d2221c7,21.649278,36.42601,29.539636,True
0dbf7d7d-d5df-52eb-aded-78f268f117a9,37.938169,58.32452,45.983925,True
0e2b52b3-6428-5b97-bb81-fd999255da72,30.663181,50.119744,41.036471,True
0e45fbc3-44a1-5dda-8128-81337380c3ce,25.352374,39.855854,33.130017,True
0efdb3bc-4c33-5b83-ad74-4ad1996df7e6,34.097444,57.412132,46.119156,True
0f15a669-11dc-56eb-a4b1-9ce1e392828d,33.649441,51.669278,42.050703,True
0f1ee10b-90da-5b1d-9acf-7cc7d4551825,35.639306,55.887069,45.964415,True
0f5f0b8e-bba3-5114-b251-37d5ed152644,23.913389,39.290522,31.537826,True
102c72b9-e6af-5c40-9cf5-ccbafc6cdbb7,20.937884,36.293085,27.663952,True
10eaaf9e-0c47-53a1-b244-c94929cb486f,31.050119,51.11192,40.361686,True
11856bc6-cfc7-5941-b98d-541105d1ce12,34.719272,59.776267,47.014016,True
11aebadb-66f8-5dad-b88f-38cf092fb1db,23.669527,34.08435,30.832749,True
122118bd-1707-5e1c-9522-d9f0df13190e,20.794562,36.070337,28.54896,True
122580d8-53f8-5ed8-a06f-6182625c2c80,30.845391,50.697943,41.369509,True
12436bc8-1fda-500d-a0fb-3e1bfe9790b5,36.125666,58.408397,44.14001,True
12883821-e0bc-5420-a24b-47236bcf8b94,27.799012,44.239582,36.829782,True
12ac1209-c23d-5d71-82ec-f349fe0072fb,33.393107,51.396783,39.94239,True
12e33a49-5163-501c-a70e-c442ef7c445a,29.36989,47.1495,36.962273,True
12f74c2f-806b-518a-acb9-244b109d6efd,28.842457,44.088626,37.208851,True
134d33e6-a3a2-5550-b005-c20a8cc38221,34.666645,53.748781,42.70481,True
1382dd1c-b770-563c-aae3-0e74118a32de,24.138385,40.92956,31.019282,True
152024ed-21c4-5c7b-a73b-13722e402004,27.951427,47.784694,36.04138,True
159862dd-3f86-5420-8161-80616a1bbd45,25.056921,40.107091,31.422733,True
16532eb4-80bf-5b0d-bc9d-e6a55497353d,34.065696,57.67756,44.295857,True
16594c47-9402-56dd-8095-4fca5e228a15,31.199046,53.062122,40.193909,True
1697fa3b-b1ac-5e46-977c-0fbca9c9c898,20.545762,32.850858,28.836844,True
16bfca3f-5607-51f9-93ee-686dcdf2f39c,30.90902,51.113928,40.535523,True
16df337f-4b88-57ad-884d-d1c8ced9d24f,23.91908,41.429598,31.670213,True
16e116a9-c09b-5d1a-a396-cd2733e1f526,34.597064,58.601456,45.7018,True
171872c1-d8e5-5c5b-8c2f-9996888502b1,34.317332,57.166015,47.194865,True
173f5dec-5495-58d6-8668-43d255c1c8b2,20.710004,35.025087,27.984006,True
174a421a-ff17-5579-b9a9-1eaf6ceff1cb,28.6187,47.771928,36.683421,True
184d4859-a155-50e2-ae74-c7bbd96d08ef,35.417041,57.781136,45.447349,True
18970099-0877-505c-abd4-294473da83f6,28.017637,45.494045,36.310117,True
18c8cec2-85b7-5054-b1f9-ea93bfff7091,24.527857,38.546762,30.893933,True
18ec400b-f09e-598e-9580-72cfe6f2aa69,21.826398,33.272011,28.190808,True
18f186df-5850-574e-bc12-5ac0d788a23e,26.172499,39.869095,31.848137,True
19221dcc-09e9-591e-90db-d7e910231135,24.149124,40.400955,31.114034,True
193d27d2-7329-5b7a-82be-a2c4e5a06c47,27.68782,47.682547,37.502207,True
19af3230-a76d-59ef-8e4e-9776da7276fb,31.248852,51.413956,40.217037,True
19d15394-28c3-519e-a032-838abad9b520,24.525964,38.348476,30.9977,True
19d1d7ea-8f37-54b2-8ff2-8ff6fef08ed8,24.234512,41.126355,32.951318,True
19f1d0d1-9e4e-5555-9e8e-4adf8816013d,30.759606,50.402676,40.548664,True
19f29c8c-7363-5cd3-8d5b-15110c3009ee,21.717309,36.105928,28.292714,True
1a22f1b1-b2ba-5168-9b0d-f21599564ca5,36.098397,57.604871,47.735563,True
1a2618d9-d569-5862-a7ae-8a5fec39364e,21.148525,34.78863,27.122878,True
1a483f13-0b45-5dea-947d-b36a12a6fc5c,20.621965,32.774613,25.9941,True
1aa61d85-7c52-58a2-8972-ae64f906c9da,34.160795,56.939622,45.147418,True
1c455fd7-6cc3-5e27-941c-8ceaa589c546,34.040218,57.028507,45.829592,True
1c91a4b3-8e7a-5bf0-8a6f-6f00cf17fedc,29.921561,46.081012,36.877257,True
1cc79656-6134-5839-89a3-b092d57b3a4a,34.629963,52.016653,42.480197,True
1d3b687c-0475-5ea3-bdb3-c18d5515fabf,27.319504,42.435716,38.460411,True
1d620def-950c-5657-80e7-9cc476dd6d8b,29.927631,46.341047,35.521977,True
1d659387-cf37-50bc-8c0f-296ee420f630,24.318857,41.25949,33.005772,True
1d940974-5708-559c-8fba-f9215072442f,32.20569,43.386002,36.126359,True
1e3aaaad-794a-5c0e-8bd1-30a486532bb6,21.003666,34.612988,27.687523,True
1e511552-e132-544b-8ef7-190c634d380c,33.240385,51.481321,40.82542,True
1eae0c5e-b84b-5a44-97f4-2c5c3fa03d68,28.003654,41.815232,36.35596,True
1f0e89d2-468e-5779-8367-5b3085635d2c,37.958776,58.112343,46.183762,True
1f47ac5d-e35b-593b-aecd-703ce08c8f11,30.668235,52.601424,41.205353,True
1f5df9f9-78fd-5097-a37f-eb5a97bd64ac,37.865091,57.935907,46.033641,True
1f95b840-821b-5ab7-b822-988987b0c7f4,25.325275,40.479483,33.400191,True
1fe00ce2-1020-536c-963e-6965d7042142,34.734231,59.565932,46.022322,True
1ff689b3-6ba5-56fe-b8fb-8fdc609c53b6,30.769615,50.912139,40.383442,True
