transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,service_time_ms,mean_service_time_ms,std_service_time_ms,min_service_time_ms,max_service_time_ms,n_successful_runs
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.75,2048,46.257759,46.2788704,1.8990892472559844,44.201232,48.251286,5
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Medium,0.75,2048,27.338948,28.1253364,2.2380403611321,25.501151,31.372996,5
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Medium,0.75,2048,32.692072,32.4909008,1.881588350939625,30.48973,34.416602,5
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Medium,0.75,2048,44.585869,44.8821712,2.602948517634991,41.21696,48.407981,5
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Medium,0.75,2048,41.428684,41.0459804,1.651445338967293,38.243689,42.373581,5
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Medium,0.75,2048,41.087868,41.1631738,2.5100813698852877,37.804316,44.87142,5
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Medium,0.75,2048,35.923896,36.0175288,1.7615413989245898,34.144168,37.94955,5
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,Medium,0.75,2048,27.286851,27.789672799999998,1.5443220835295988,25.727183,29.37967,5
dc657fb4-42d9-56de-8897-98d0fef45042,1,1,PAYMENT,1864.28,21249.0,0.0,Medium,0.75,2048,32.524704,32.4690078,2.61988034500303,29.353614,35.798669,5
fd9f804b-556d-5363-a2af-a50d86cf6000,70,1,CASH_OUT,47458.86,209534.84,52120.0,Medium,0.75,2048,39.237239,38.9525968,1.6607978257542966,36.298164,40.425199,5
