transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,service_time_ms,mean_service_time_ms,std_service_time_ms,min_service_time_ms,max_service_time_ms,n_successful_runs
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,58.824742,57.3974644,2.3072851768735276,53.83481,59.123513,5
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,33.934639,33.993214800000004,2.741428929987553,30.087588,37.228586,5
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,40.434969,39.6977314,1.7132427346194423,36.634297,40.547264,5
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.6,1024,59.464881,57.5214846,2.8358447259136543,53.659615,59.69217,5
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.6,1024,53.032629,52.4810016,1.2551881437909223,50.37776,53.551703,5
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.6,1024,50.47472,50.8502872,1.732465392148774,48.418502,52.767392,5
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.6,1024,45.044441,45.4791728,1.631009689914717,43.752226,47.365228,5
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,Low,0.6,1024,37.065642,35.5351376,3.6354653010109725,30.639768,38.62682,5
dc657fb4-42d9-56de-8897-98d0fef45042,1,1,PAYMENT,1864.28,21249.0,0.0,Low,0.6,1024,40.43829,40.8702494,4.431242320027908,35.649865,45.767166,5
fd9f804b-556d-5363-a2af-a50d86cf6000,70,1,CASH_OUT,47458.86,209534.84,52120.0,Low,0.6,1024,45.526523,45.088243,4.9707251446597285,39.78304,50.755717,5
