transaction_id                      , source_row_index, step, type    , amount   , oldbalanceOrg, oldbalanceDest, node_profile, cpu_limit, memory_mb, repetition, status , service_time_ms, schema_validation_ms, security_authorization_ms, begin_db_transaction_ms, idempotency_check_ms, account_lookup_ms, type_specific_validation_ms, state_update_ms, ledger_update_ms, audit_log_ms, completion_record_ms, commit_ms, rollback_ms, error_type, error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,               58,    1, TRANSFER,  62610.8 ,      79114.0 ,         517.0 , Low         ,      0.25,      1024,          1, SUCCESS,      410.956431,             0.003347,                410.693813,                0.003193,             0.012143,          0.023694,                    0.002645,        0.035737,         0.030307,     0.078631,             0.029695,  0.006995,            ,           , 
0cfc0319-2ffc-5f74-b250-8430b05f4baa,               58,    1, TRANSFER,  62610.8 ,      79114.0 ,         517.0 , Low         ,      0.25,      1024,          2, SUCCESS,      399.988869,             0.005166,                399.755261,                0.003605,             0.013316,          0.024839,                    0.00242 ,        0.037923,         0.02419 ,     0.056647,             0.021768,  0.005176,            ,           , 
0cfc0319-2ffc-5f74-b250-8430b05f4baa,               58,    1, TRANSFER,  62610.8 ,      79114.0 ,         517.0 , Low         ,      0.25,      1024,          3, SUCCESS,      489.722029,             0.006816,                489.394039,                0.006391,             0.019781,          0.035737,                    0.003422,        0.060006,         0.031492,     0.071254,             0.030156,  0.007114,            ,           , 
0cfc0319-2ffc-5f74-b250-8430b05f4baa,               58,    1, TRANSFER,  62610.8 ,      79114.0 ,         517.0 , Low         ,      0.25,      1024,          4, SUCCESS,      495.729354,             0.00382 ,                495.531543,                0.002908,             0.01102 ,          0.021235,                    0.002141,        0.031917,         0.021019,     0.048576,             0.018065,  0.004581,            ,           , 
0cfc0319-2ffc-5f74-b250-8430b05f4baa,               58,    1, TRANSFER,  62610.8 ,      79114.0 ,         517.0 , Low         ,      0.25,      1024,          5, SUCCESS,      409.254193,             0.002291,                409.068177,                0.003544,             0.009761,          0.020402,                    0.002077,        0.030848,         0.018741,     0.04587 ,             0.019426,  0.004185,            ,           , 
22ec8097-3f82-5206-b27a-1716510f8a15,              390,    1, CASH_IN , 228451.89,     143236.26,      719678.38, Low         ,      0.25,      1024,          1, SUCCESS,      397.529956,             0.004753,                397.33878 ,                0.002653,             0.01004 ,          0.022165,                    0.001641,        0.042202,         0.011049,     0.043854,             0.017624,  0.004568,            ,           , 
22ec8097-3f82-5206-b27a-1716510f8a15,              390,    1, CASH_IN , 228451.89,     143236.26,      719678.38, Low         ,      0.25,      1024,          2, SUCCESS,      488.348224,             0.002177,                488.0947  ,                0.004431,             0.015735,          0.032492,                    0.002091,        0.068785,         0.024239,     0.045396,             0.017783,  0.004166,            ,           , 
22ec8097-3f82-5206-b27a-1716510f8a15,              390,    1, CASH_IN , 228451.89,     143236.26,      719678.38, Low         ,      0.25,      1024,          3, SUCCESS,      394.919237,             0.002306,                394.731929,                0.002945,             0.010902,          0.020696,                    0.001629,        0.042842,         0.010284,     0.044838,             0.01804 ,  0.004526,            ,           , 
22ec8097-3f82-5206-b27a-1716510f8a15,              390,    1, CASH_IN , 228451.89,     143236.26,      719678.38, Low         ,      0.25,      1024,          4, SUCCESS,      509.644955,             0.003385,                509.448948,                0.002673,             0.010345,          0.02839 ,                    0.00158 ,        0.041871,         0.011366,     0.044417,             0.016845,  0.004965,            ,           , 
22ec8097-3f82-5206-b27a-1716510f8a15,              390,    1, CASH_IN , 228451.89,     143236.26,      719678.38, Low         ,      0.25,      1024,          5, SUCCESS,      390.234175,             0.002549,                389.906486,                0.004443,             0.018397,          0.037342,                    0.002552,        0.08022 ,         0.02291 ,     0.073623,             0.033302,  0.008414,            ,           , 
4c47fd72-93b9-5bbe-8da2-5611d12202e7,                0,    1, PAYMENT ,   9839.64,     170136.0 ,           0.0 , Low         ,      0.25,      1024,          1, SUCCESS,      397.946839,             0.002448,                397.751717,                0.002518,             0.010144,          0.020573,                    0.001961,        0.041072,         0.019005,     0.045701,             0.018023,  0.00443 ,            ,           , 
4c47fd72-93b9-5bbe-8da2-5611d12202e7,                0,    1, PAYMENT ,   9839.64,     170136.0 ,           0.0 , Low         ,      0.25,      1024,          2, SUCCESS,      495.046257,             0.001987,                494.854247,                0.002907,             0.009961,          0.021865,                    0.002153,        0.040484,         0.018813,     0.043621,             0.018063,  0.004373,            ,           , 
4c47fd72-93b9-5bbe-8da2-5611d12202e7,                0,    1, PAYMENT ,   9839.64,     170136.0 ,           0.0 , Low         ,      0.25,      1024,          3, SUCCESS,      400.590738,             0.002611,                400.359692,                0.002978,             0.010033,          0.024845,                    0.002086,        0.045195,         0.02043 ,     0.051389,             0.019686,  0.00673 ,            ,           , 
4c47fd72-93b9-5bbe-8da2-5611d12202e7,                0,    1, PAYMENT ,   9839.64,     170136.0 ,           0.0 , Low         ,      0.25,      1024,          4, SUCCESS,      400.315803,             0.002473,                399.995117,                0.00611 ,             0.012965,          0.024416,                    0.002447,        0.045075,         0.021138,     0.145009,             0.021302,  0.006261,            ,           , 
4c47fd72-93b9-5bbe-8da2-5611d12202e7,                0,    1, PAYMENT ,   9839.64,     170136.0 ,           0.0 , Low         ,      0.25,      1024,          5, SUCCESS,      489.632346,             0.002831,                489.26514 ,                0.006371,             0.02362 ,          0.041086,                    0.003607,        0.087301,         0.037313,     0.073859,             0.035791,  0.009329,            ,           , 
538a51c5-17e0-5514-b8f8-4932adef1d87,                2,    1, TRANSFER,    181.0 ,        181.0 ,           0.0 , Low         ,      0.25,      1024,          1, SUCCESS,      395.178307,             0.00369 ,                394.951681,                0.003148,             0.009866,          0.022397,                    0.002303,        0.045048,         0.023259,     0.062052,             0.02005 ,  0.004914,            ,           , 
538a51c5-17e0-5514-b8f8-4932adef1d87,                2,    1, TRANSFER,    181.0 ,        181.0 ,           0.0 , Low         ,      0.25,      1024,          2, SUCCESS,      404.259497,             0.002299,                404.042556,                0.004531,             0.014958,          0.023705,                    0.002761,        0.03874 ,         0.02454 ,     0.046085,             0.018619,  0.004593,            ,           , 
538a51c5-17e0-5514-b8f8-4932adef1d87,                2,    1, TRANSFER,    181.0 ,        181.0 ,           0.0 , Low         ,      0.25,      1024,          3, SUCCESS,      396.211885,             0.002422,                396.025925,                0.002872,             0.00939 ,          0.021742,                    0.002265,        0.033062,         0.018362,     0.045231,             0.017878,  0.004345,            ,           , 
538a51c5-17e0-5514-b8f8-4932adef1d87,                2,    1, TRANSFER,    181.0 ,        181.0 ,           0.0 , Low         ,      0.25,      1024,          4, SUCCESS,      405.533999,             0.002461,                405.284507,                0.003259,             0.010921,          0.02996 ,                    0.002871,        0.051792,         0.022049,     0.072292,             0.019522,  0.004259,            ,           , 
538a51c5-17e0-5514-b8f8-4932adef1d87,                2,    1, TRANSFER,    181.0 ,        181.0 ,           0.0 , Low         ,      0.25,      1024,          5, SUCCESS,      400.009436,             0.002698,                399.817324,                0.002779,             0.009734,          0.022293,                    0.002239,        0.03189 ,         0.020058,     0.04875 ,             0.018207,  0.004409,            ,           , 
7cea622d-3b84-505d-9c0d-579d30336375,               21,    1, DEBIT   ,   9302.79,      11299.0 ,       29832.0 , Low         ,      0.25,      1024,          1, SUCCESS,      408.65879 ,             0.00224 ,                408.466278,                0.003008,             0.009813,          0.021824,                    0.002019,        0.043427,         0.018075,     0.043071,             0.017682,  0.004314,            ,           , 
7cea622d-3b84-505d-9c0d-579d30336375,               21,    1, DEBIT   ,   9302.79,      11299.0 ,       29832.0 , Low         ,      0.25,      1024,          2, SUCCESS,      487.907723,             0.002308,                487.696247,                0.003051,             0.010988,          0.023211,                    0.002164,        0.047663,         0.020879,     0.046817,             0.019804,  0.005045,            ,           , 
7cea622d-3b84-505d-9c0d-579d30336375,               21,    1, DEBIT   ,   9302.79,      11299.0 ,       29832.0 , Low         ,      0.25,      1024,          3, SUCCESS,      412.003438,             0.002215,                411.794207,                0.002619,             0.009363,          0.020146,                    0.002083,        0.041141,         0.031339,     0.046648,             0.018345,  0.00478 ,            ,           , 
7cea622d-3b84-505d-9c0d-579d30336375,               21,    1, DEBIT   ,   9302.79,      11299.0 ,       29832.0 , Low         ,      0.25,      1024,          4, SUCCESS,      493.334196,             0.001876,                493.140875,                0.002606,             0.009625,          0.02217 ,                    0.002078,        0.04238 ,         0.017822,     0.044028,             0.018725,  0.004199,            ,           , 
