transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,service_time_ms,mean_service_time_ms,std_service_time_ms,min_service_time_ms,max_service_time_ms,n_successful_runs,final_block,robust_z_type_node,abs_robust_z
a1094f9a-ec4e-5b9b-8e0e-4a0934307a00,4559409,327,CASH_OUT,294188.26,317137.0,67733.48,Medium,0.75,2048,42.087077,40.374633,2.9511499845813502,35.483087,42.461999,5,2,8.528850768365109,8.528850768365109
ebb37b20-0a13-57a8-8655-3d2e47c92a76,4289049,307,CASH_OUT,45594.15,621942.89,2055762.47,Medium,0.75,2048,41.154508,43.7551316,5.582582100769214,37.461945,50.662607,5,8,7.00183895865464,7.00183895865464
768f5240-c66e-5183-a439-3b428b9576a6,3128943,236,DEBIT,2704.7,29265.0,774615.68,Medium,0.75,2048,44.37177,44.899141,3.2791401496348085,40.08841,47.99278,5,1,6.820910677928156,6.820910677928156
6ddc0cde-0784-59f7-aec5-19ced2c9e071,5329958,374,DEBIT,843.49,36407.06,59077.88,Low,0.6,1024,56.865132,54.5399148,3.734096711248613,49.497916,57.417469,5,10,6.486318707094256,6.486318707094256
5767e7e9-cedc-5f35-a529-4f4c45b8df2e,3820282,281,PAYMENT,4662.46,13524.66,0.0,Medium,0.75,2048,36.600993,34.9299046,4.9887254670655405,28.722554,40.792277,5,1,6.3350452949971086,6.3350452949971086
e91d206a-61f7-5c79-adb1-31a8c8f48abe,1265162,135,PAYMENT,21829.03,492722.81,0.0,Low,0.6,1024,34.516154,38.2017626,5.135358342866961,34.37822,43.886171,5,5,-6.318584849735903,6.318584849735903
7acff86c-eb87-5396-9b3e-6df95305251f,6306734,684,PAYMENT,24498.27,169230.0,0.0,Low,0.6,1024,34.680435,36.7478858,2.9034310506861862,34.560782,40.075493,5,9,-6.123463591059363,6.123463591059363
c6592fb4-94f0-5811-b980-bddb7e59508a,1780140,162,PAYMENT,6910.24,20072.0,0.0,Medium,0.75,2048,36.426292,34.9259678,3.9395831400806487,28.849289,38.714357,5,4,6.1155529362386645,6.1155529362386645
ca4a33b6-2fb7-5bf4-ac8c-116bc042829b,4289120,307,CASH_OUT,209420.29,455574.0,174647.56,Medium,0.75,2048,40.404691,39.1303158,2.0788953967986683,36.661627,40.789334,5,7,5.774069845461222,5.774069845461222
46a1d0ac-b37c-5c1a-bdf4-cbdfa55a5393,3240099,250,CASH_OUT,157342.01,158871.88,905353.79,Medium,0.75,2048,40.309165,38.9016364,3.482164649308431,34.259322,42.575243,5,7,5.617653183386457,5.617653183386457
