transaction_id,state_replica,node_profile,completion_time_ms
006ca6d7-2113-5e40-8812-de583cc5c117,0,High,35.192886
006ca6d7-2113-5e40-8812-de583cc5c117,1,High,42.17727113939343
006ca6d7-2113-5e40-8812-de583cc5c117,2,High,35.192886
006ec7c4-7bbd-55ba-9138-807e1c4c988e,0,Medium,46.216302
006ec7c4-7bbd-55ba-9138-807e1c4c988e,1,Medium,56.09539153801007
006ec7c4-7bbd-55ba-9138-807e1c4c988e,2,High,36.525243
0087127e-c89f-572e-972a-057dd92716c6,0,High,32.302378
0087127e-c89f-572e-972a-057dd92716c6,1,High,32.302378
0087127e-c89f-572e-972a-057dd92716c6,2,High,44.6369958793265
01c21ab9-0508-5411-a641-0f98dacce6ba,0,High,30.659332
01c21ab9-0508-5411-a641-0f98dacce6ba,1,High,30.659332
01c21ab9-0508-5411-a641-0f98dacce6ba,2,High,30.659332
027edc78-b22f-5a49-8bea-93a58d26fd20,0,High,20.522681
027edc78-b22f-5a49-8bea-93a58d26fd20,1,High,20.522681
027edc78-b22f-5a49-8bea-93a58d26fd20,2,High,20.522681
02f15c4d-03d8-5ae0-8951-33b67a411614,0,Medium,28.885096
02f15c4d-03d8-5ae0-8951-33b67a411614,1,High,21.638728
02f15c4d-03d8-5ae0-8951-33b67a411614,2,High,21.638728
0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,0,High,30.39363834291745
0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,1,High,20.584487
0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,2,Medium,38.9433805338874
034ace7a-2692-5f1c-b3e6-e789af5d2944,0,High,34.49264
034ace7a-2692-5f1c-b3e6-e789af5d2944,1,High,34.49264
034ace7a-2692-5f1c-b3e6-e789af5d2944,2,High,34.49264
03800b45-8301-53c2-9f30-6b7dd80497ae,0,High,21.161629
03800b45-8301-53c2-9f30-6b7dd80497ae,1,High,21.161629
03800b45-8301-53c2-9f30-6b7dd80497ae,2,High,21.161629
03c2d846-b2d7-57e1-8ffc-2c800782ab44,0,Low,42.573071
03c2d846-b2d7-57e1-8ffc-2c800782ab44,1,Medium,37.59729
03c2d846-b2d7-57e1-8ffc-2c800782ab44,2,High,27.190341
04147f2c-067b-5551-99e6-2a9106a91ad3,0,High,21.250065
04147f2c-067b-5551-99e6-2a9106a91ad3,1,Medium,38.986937246101284
04147f2c-067b-5551-99e6-2a9106a91ad3,2,High,21.250065
044c92c1-f354-5ff1-b135-2fda326aba5d,0,High,35.492888
044c92c1-f354-5ff1-b135-2fda326aba5d,1,High,35.492888
044c92c1-f354-5ff1-b135-2fda326aba5d,2,High,35.492888
048c2934-3022-5d0d-a6ea-c03796b449ed,0,High,28.174795
048c2934-3022-5d0d-a6ea-c03796b449ed,1,High,28.174795
048c2934-3022-5d0d-a6ea-c03796b449ed,2,High,28.174795
05089c32-86d3-566e-8442-8504f02a4fdf,0,High,24.204766
05089c32-86d3-566e-8442-8504f02a4fdf,1,High,24.204766
05089c32-86d3-566e-8442-8504f02a4fdf,2,High,24.204766
052c87ae-edb7-509d-ad69-c6647c7988eb,0,Low,51.042453
052c87ae-edb7-509d-ad69-c6647c7988eb,1,Medium,40.121395
052c87ae-edb7-509d-ad69-c6647c7988eb,2,High,47.86653492534878
0531499a-3c32-5e9e-a341-4315f9e6ccf4,0,High,34.18875
0531499a-3c32-5e9e-a341-4315f9e6ccf4,1,High,34.18875
0531499a-3c32-5e9e-a341-4315f9e6ccf4,2,High,34.18875
056650cb-a96b-5432-815e-2fcc7faddedd,0,High,31.488615
056650cb-a96b-5432-815e-2fcc7faddedd,1,High,31.488615
056650cb-a96b-5432-815e-2fcc7faddedd,2,High,31.488615
060ffd69-8ab6-5349-a202-db2e986ce3b8,0,Medium,44.450174
060ffd69-8ab6-5349-a202-db2e986ce3b8,1,Medium,44.450174
060ffd69-8ab6-5349-a202-db2e986ce3b8,2,High,34.075977
070e8076-9505-57fa-9781-f3f170b49d1c,0,High,36.986262
070e8076-9505-57fa-9781-f3f170b49d1c,1,Medium,43.985017
070e8076-9505-57fa-9781-f3f170b49d1c,2,High,39.19360211500769
077472d9-90f6-5173-aaeb-5fa51f9684f5,0,Medium,43.769847
077472d9-90f6-5173-aaeb-5fa51f9684f5,1,High,34.133379
077472d9-90f6-5173-aaeb-5fa51f9684f5,2,High,38.14542420636581
07960d88-70bc-5a15-bc6d-8b89673096e9,0,Medium,36.260674
07960d88-70bc-5a15-bc6d-8b89673096e9,1,Medium,36.260674
07960d88-70bc-5a15-bc6d-8b89673096e9,2,High,28.038303
07b89b9e-50a4-5022-8e6d-b89b3f761a1c,0,High,29.875414
07b89b9e-50a4-5022-8e6d-b89b3f761a1c,1,Medium,35.731551
07b89b9e-50a4-5022-8e6d-b89b3f761a1c,2,Medium,35.731551
082079e6-26f0-5c4a-88c0-058ade7de1c8,0,High,31.983782
082079e6-26f0-5c4a-88c0-058ade7de1c8,1,High,31.983782
082079e6-26f0-5c4a-88c0-058ade7de1c8,2,High,44.81561331089811
08d70150-f884-57a0-933c-1f31c5bcee5f,0,Medium,38.250091
08d70150-f884-57a0-933c-1f31c5bcee5f,1,Medium,42.362001524084896
08d70150-f884-57a0-933c-1f31c5bcee5f,2,High,27.420095
092b61d7-aa22-505b-add5-4f5b5d3a74d7,0,Medium,31.253999
092b61d7-aa22-505b-add5-4f5b5d3a74d7,1,High,25.128322
092b61d7-aa22-505b-add5-4f5b5d3a74d7,2,High,25.128322
09ac347b-27bc-511e-b961-ac76c23466ef,0,High,21.808168
09ac347b-27bc-511e-b961-ac76c23466ef,1,High,21.808168
09ac347b-27bc-511e-b961-ac76c23466ef,2,Low,39.63445843969825
0a867ee4-d35f-5013-a1a6-110ac16ed1a1,0,High,21.225072
0a867ee4-d35f-5013-a1a6-110ac16ed1a1,1,High,21.225072
0a867ee4-d35f-5013-a1a6-110ac16ed1a1,2,High,21.225072
0ab40aab-3aaf-5c69-844a-986afe70651d,0,High,34.709768
0ab40aab-3aaf-5c69-844a-986afe70651d,1,High,34.709768
0ab40aab-3aaf-5c69-844a-986afe70651d,2,High,34.709768
0b09dc7b-5678-5f2c-85d5-aae0d3822444,0,High,37.382746
0b09dc7b-5678-5f2c-85d5-aae0d3822444,1,Medium,47.087458392473046
0b09dc7b-5678-5f2c-85d5-aae0d3822444,2,High,37.382746
0b1b6c93-e198-5fe7-8c52-ce99b8aa8761,0,Medium,39.216224
0b1b6c93-e198-5fe7-8c52-ce99b8aa8761,1,High,29.37451
0b1b6c93-e198-5fe7-8c52-ce99b8aa8761,2,Medium,39.216224
0ba231bc-5c82-5feb-a1e8-c4074ee665f2,0,High,20.728207
0ba231bc-5c82-5feb-a1e8-c4074ee665f2,1,Medium,27.901964
0ba231bc-5c82-5feb-a1e8-c4074ee665f2,2,High,20.728207
0bd78f65-b6c9-5916-8278-ccecc0039ab2,0,High,20.465832
0bd78f65-b6c9-5916-8278-ccecc0039ab2,1,High,20.465832
0bd78f65-b6c9-5916-8278-ccecc0039ab2,2,Medium,27.521194
0bdb3baa-dd01-5350-90a7-4d8ca40094a2,0,High,25.198903
0bdb3baa-dd01-5350-90a7-4d8ca40094a2,1,High,25.198903
0bdb3baa-dd01-5350-90a7-4d8ca40094a2,2,High,32.49538892423739
0ca950b2-a3e8-556d-92b0-6dcc731da193,0,Medium,40.429323
0ca950b2-a3e8-556d-92b0-6dcc731da193,1,Medium,40.429323
0ca950b2-a3e8-556d-92b0-6dcc731da193,2,High,31.238993
0d16b314-ccdd-53d5-91dc-8cead500f4c4,0,High,29.495682
0d16b314-ccdd-53d5-91dc-8cead500f4c4,1,Medium,37.413018
0d16b314-ccdd-53d5-91dc-8cead500f4c4,2,High,29.495682
0d72aa38-cac4-521a-9625-5e0d947720f7,0,Medium,27.560799
0d72aa38-cac4-521a-9625-5e0d947720f7,1,High,20.76558
0d72aa38-cac4-521a-9625-5e0d947720f7,2,High,20.76558
0d7abbb4-76d9-502c-a2c5-a9575d2221c7,0,High,21.649278
0d7abbb4-76d9-502c-a2c5-a9575d2221c7,1,High,24.987567691208817
0d7abbb4-76d9-502c-a2c5-a9575d2221c7,2,High,21.649278
0dbf7d7d-d5df-52eb-aded-78f268f117a9,0,Low,58.32452
0dbf7d7d-d5df-52eb-aded-78f268f117a9,1,High,37.938169
0dbf7d7d-d5df-52eb-aded-78f268f117a9,2,High,37.938169
0e2b52b3-6428-5b97-bb81-fd999255da72,0,Medium,41.036471
0e2b52b3-6428-5b97-bb81-fd999255da72,1,High,30.663181
0e2b52b3-6428-5b97-bb81-fd999255da72,2,High,34.573151155445835
0e45fbc3-44a1-5dda-8128-81337380c3ce,0,Medium,33.130017
0e45fbc3-44a1-5dda-8128-81337380c3ce,1,High,25.352374
0e45fbc3-44a1-5dda-8128-81337380c3ce,2,Medium,33.130017
0efdb3bc-4c33-5b83-ad74-4ad1996df7e6,0,High,34.097444
0efdb3bc-4c33-5b83-ad74-4ad1996df7e6,1,High,43.73515501365021
0efdb3bc-4c33-5b83-ad74-4ad1996df7e6,2,Medium,46.119156
0f15a669-11dc-56eb-a4b1-9ce1e392828d,0,High,33.649441
0f15a669-11dc-56eb-a4b1-9ce1e392828d,1,High,33.649441
0f15a669-11dc-56eb-a4b1-9ce1e392828d,2,High,35.325791488387885
0f5f0b8e-bba3-5114-b251-37d5ed152644,0,High,30.45325206021314
0f5f0b8e-bba3-5114-b251-37d5ed152644,1,High,23.913389
0f5f0b8e-bba3-5114-b251-37d5ed152644,2,High,23.913389
10eaaf9e-0c47-53a1-b244-c94929cb486f,0,Medium,44.16027619438428
10eaaf9e-0c47-53a1-b244-c94929cb486f,1,Medium,40.361686
10eaaf9e-0c47-53a1-b244-c94929cb486f,2,Medium,58.74784297214819
11856bc6-cfc7-5941-b98d-541105d1ce12,0,High,34.719272
11856bc6-cfc7-5941-b98d-541105d1ce12,1,High,34.719272
11856bc6-cfc7-5941-b98d-541105d1ce12,2,High,34.719272
122118bd-1707-5e1c-9522-d9f0df13190e,0,High,20.794562
122118bd-1707-5e1c-9522-d9f0df13190e,1,Medium,28.54896
122118bd-1707-5e1c-9522-d9f0df13190e,2,Medium,28.54896
122580d8-53f8-5ed8-a06f-6182625c2c80,0,High,30.845391
122580d8-53f8-5ed8-a06f-6182625c2c80,1,High,30.845391
122580d8-53f8-5ed8-a06f-6182625c2c80,2,High,30.845391
12436bc8-1fda-500d-a0fb-3e1bfe9790b5,0,High,36.125666
12436bc8-1fda-500d-a0fb-3e1bfe9790b5,1,High,36.125666
12436bc8-1fda-500d-a0fb-3e1bfe9790b5,2,High,40.62227534936341
12e33a49-5163-501c-a70e-c442ef7c445a,0,High,48.20880836152199
12e33a49-5163-501c-a70e-c442ef7c445a,1,Medium,36.962273
12e33a49-5163-501c-a70e-c442ef7c445a,2,High,31.852107953584497
134d33e6-a3a2-5550-b005-c20a8cc38221,0,Medium,42.70481
134d33e6-a3a2-5550-b005-c20a8cc38221,1,High,38.80844667046704
134d33e6-a3a2-5550-b005-c20a8cc38221,2,Medium,42.70481
1382dd1c-b770-563c-aae3-0e74118a32de,0,High,24.138385
1382dd1c-b770-563c-aae3-0e74118a32de,1,High,33.995913853459726
1382dd1c-b770-563c-aae3-0e74118a32de,2,High,33.599330029221385
16532eb4-80bf-5b0d-bc9d-e6a55497353d,0,Medium,44.295857
16532eb4-80bf-5b0d-bc9d-e6a55497353d,1,High,43.38257891586272
16532eb4-80bf-5b0d-bc9d-e6a55497353d,2,High,34.065696
1697fa3b-b1ac-5e46-977c-0fbca9c9c898,0,Medium,28.836844
1697fa3b-b1ac-5e46-977c-0fbca9c9c898,1,Low,32.850858
1697fa3b-b1ac-5e46-977c-0fbca9c9c898,2,Medium,60.218286287947755
16bfca3f-5607-51f9-93ee-686dcdf2f39c,0,Medium,40.535523
16bfca3f-5607-51f9-93ee-686dcdf2f39c,1,High,30.90902
16bfca3f-5607-51f9-93ee-686dcdf2f39c,2,High,30.90902
16df337f-4b88-57ad-884d-d1c8ced9d24f,0,Low,41.429598
16df337f-4b88-57ad-884d-d1c8ced9d24f,1,Medium,31.670213
16df337f-4b88-57ad-884d-d1c8ced9d24f,2,Medium,31.670213
16e116a9-c09b-5d1a-a396-cd2733e1f526,0,High,34.597064
16e116a9-c09b-5d1a-a396-cd2733e1f526,1,High,34.597064
16e116a9-c09b-5d1a-a396-cd2733e1f526,2,High,34.597064
171872c1-d8e5-5c5b-8c2f-9996888502b1,0,Medium,47.194865
