transaction_id,source_row_index,step,type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest
6941b8d3-e95e-522a-97bc-db1b0fc3c553,2717607,211,CASH_IN,39647.46,C194847252,2137365.55,C1972143257,846106.03
51bf61fc-4bef-5a0b-ba3a-db560b7c15ae,4733352,332,CASH_OUT,14269.25,C98640636,85871.0,C863183707,1617750.19
0f15a669-11dc-56eb-a4b1-9ce1e392828d,460733,19,DEBIT,2208.26,C158854185,335412.0,C1135318452,116219.0
8406192d-7c6b-5fbe-a824-eea1d2853761,2246777,186,PAYMENT,3646.45,C1694903615,20091.0,M1795216102,0.0
070e8076-9505-57fa-9781-f3f170b49d1c,3130057,236,TRANSFER,151851.62,C1203064563,215681.69,C1101277676,860254.62
fe73c02c-d59e-578a-89ac-1beb177bcc85,5281310,372,CASH_IN,250564.96,C700476298,23101.0,C1866314125,0.0
ddaabe62-1d39-5d7c-a2bd-bf703f2c0481,1860180,164,CASH_OUT,106139.45,C1708791341,120873.0,C174815176,0.0
88a4e892-e86c-5ff3-8d1d-5fc3884bb8cd,302065,15,DEBIT,4129.5,C280072500,257737.45,C720356665,3002873.87
e28880c4-7579-57a9-b2b0-3bb48de4373f,5083233,355,PAYMENT,27023.01,C400321374,61989.0,M1929350506,0.0
98bf119f-43d3-576d-90c0-67c904b000bb,482908,19,TRANSFER,148539.31,C560829193,990257.0,C1166993154,0.0
396b9b39-d198-5079-8348-b849508008d6,377828,17,CASH_IN,202152.33,C1849686419,1057112.8,C892180455,390851.94
cff5fe9f-6668-5d81-8d0a-d23fcf9761b1,4395091,321,CASH_OUT,9675.59,C1638431370,55461.0,C2032075009,3662537.47
a2a14fc3-92d2-597a-8bd5-f070e4a7bb34,4324707,308,DEBIT,900.46,C939497327,9000.0,C1152353317,270549.65
9a897146-68ff-57f5-808d-c32118a9fded,4143942,303,PAYMENT,24178.21,C615401698,52791.0,M1023874557,0.0
c9c8e1e4-b99f-5429-ace9-f0d0e1cad1a3,978539,44,TRANSFER,100144.94,C1512117347,157842.0,C1639581278,63370.3
56d6c8a3-df88-5325-99cc-d0913a7e1e04,4550286,327,CASH_IN,519181.44,C664656135,2637197.09,C672281868,1460746.57
db8e84ac-e867-5d49-91dd-beb2e850b6e1,189361,13,CASH_OUT,88734.31,C1260482634,167884.0,C1346310748,0.0
d9117be7-a622-511f-952f-742da0d490a7,2035494,180,DEBIT,2122.47,C1612356265,104718.0,C654925861,986110.6
807d6627-34fa-53b9-953d-a55efc3e672a,3794738,281,PAYMENT,3426.05,C1379717775,23683.0,M1785617995,0.0
27b99791-804b-500a-9037-8264f5165329,1822246,163,TRANSFER,183557.29,C375202059,371430.0,C929035431,91.0
18ec400b-f09e-598e-9580-72cfe6f2aa69,436658,18,CASH_IN,170870.37,C774539499,3317890.04,C2093546827,578941.67
2239011b-d3c6-51b6-b7e8-6f6d065bb3d6,5251692,371,CASH_OUT,170564.17,C1152652058,215175.0,C540312023,716397.67
95e746a5-ce76-50a6-85bd-8acced922f5b,2563840,206,DEBIT,160.17,C965487222,102119.0,C843774579,617366.41
379db4d7-1d43-5d02-bf0d-a48c030b0571,3370988,254,PAYMENT,22566.93,C1514548289,40606.0,M359892583,0.0
3538eb3d-c151-5982-83dd-d4b0f95ca975,1991939,179,TRANSFER,329287.21,C1623973529,516979.0,C340937308,1435606.9
3e583b27-81f9-5b73-8b17-c22732c22818,5306524,373,CASH_IN,39552.94,C1565596407,20447.0,C189917816,779005.5
5e7e1664-67bf-5efc-a286-7f1b9bdc20a0,1399585,139,CASH_OUT,229550.18,C685051726,919300.0,C1312045137,0.0
f4475d6c-69d8-550e-b89a-64cf63df94f5,5787622,401,DEBIT,2986.21,C1723006378,10564.0,C673485812,3576160.52
f489b9af-ef7a-53ef-b987-cdbb52ee0c68,3392835,255,PAYMENT,10090.73,C378889464,294449.31,M1034511909,0.0
5bd88827-283b-5e00-a82b-34d3c9cf8c35,925984,43,TRANSFER,303823.04,C674931268,545142.23,C531593626,3634619.17
ecef5763-a54c-57e0-97ca-e1eba1da9023,720776,37,CASH_IN,100658.06,C257211236,2005407.91,C125656563,155795.15
60f6c6a6-3f90-5c95-b133-fb89f511778b,2638561,209,CASH_OUT,8974.63,C212013184,355593.0,C2125135675,5880659.08
c1950d2e-879e-5841-905a-a77f527e1436,842560,41,DEBIT,1936.62,C77606986,385118.0,C1016689071,10630678.12
c6592fb4-94f0-5811-b980-bddb7e59508a,1780140,162,PAYMENT,6910.24,C1189504487,20072.0,M302144499,0.0
e566efe8-94e4-58ae-8195-b02c662614ff,5008315,353,TRANSFER,10280.69,C509373847,119226.5,C41636808,3049052.97
d33ade51-d82e-53dc-8f9c-21c259db5aa7,1477864,141,CASH_IN,210224.0,C318151098,166942.36,C1335048982,503346.26
d5f690c2-08fb-5b8f-976c-a6005f833eaf,1431559,139,CASH_OUT,32707.79,C1360432029,41481.0,C427646408,0.0
1e511552-e132-544b-8ef7-190c634d380c,1213292,133,DEBIT,191.72,C1313485590,31526.43,C1986422018,565564.28
d6e9db41-752b-56ef-9d8d-70b6e4c12e88,3546919,260,PAYMENT,304.24,C367926357,28195.04,M175188226,0.0
e8ac124c-0883-538b-995e-41d5950bc539,5997591,426,TRANSFER,68334.98,C296219289,323396.0,C1363985912,0.0
d3c090cf-fb15-5756-8359-ec01fee90e27,851068,41,CASH_IN,192124.71,C349754277,32263.0,C1800577588,523486.72
4fb86755-81f3-587b-b377-695d2c54a26d,3915526,284,CASH_OUT,141828.55,C1626410417,159287.0,C1536123397,421472.2
73271237-c3b4-5004-81a6-22e6f0b50d6c,6336130,691,DEBIT,2098.06,C1472676640,20313.0,C468337104,86872855.07
49410abc-a6ad-5655-abb7-bfae8ae98437,1840183,163,PAYMENT,69.89,C2029820317,52813.0,M555594942,0.0
85fa5f36-4722-51ec-9989-a99b3438c289,6039804,485,TRANSFER,1425802.24,C899490900,1425802.24,C1200745570,0.0
273dc82e-7675-5d7d-bedf-e22a53bae41d,3863069,283,CASH_IN,146344.85,C44718515,100531.0,C1011444814,1288323.9
2ae9c647-f4f5-5426-9120-a9fd75d8b8a0,672831,36,CASH_OUT,18985.43,C820276266,101002.0,C1145668198,0.0
d310226c-8cdf-5a9b-93c8-6e55c20d5e35,3624666,274,DEBIT,2740.71,C860225354,11163.0,C293170112,1550641.83
c8e61896-9855-54a1-b853-6186ea5ab599,357090,17,PAYMENT,15999.22,C867293227,55104.0,M1557067995,0.0
eb13980f-e586-545d-af08-14e940ad6e49,5844470,402,TRANSFER,127156.49,C1718340176,127156.49,C680745289,0.0
fd23fe47-255f-57ef-8f41-0be6dda977a0,1563803,155,CASH_IN,69632.75,C635713789,5993647.98,C1078667791,715841.73
2ce89939-9ca1-5a33-89a0-b5bca7ee1f9c,3715461,278,CASH_OUT,62590.13,C826146798,98368.65,C9550083,3854314.18
