transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,service_time_ms,mean_service_time_ms,std_service_time_ms,min_service_time_ms,max_service_time_ms,n_successful_runs
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,89.9371715,89.8717163,1.1275957653976327,87.193291,91.265352,10
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,446.83917599999995,432.9334837,68.18273221832598,322.245139,496.74818,10
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Medium,0.5,2048,195.87280850000002,191.0968712,17.961082409790833,140.722099,201.971708,10
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,91.0253765,91.6420683,2.033824043528566,89.641574,96.393768,10
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.25,1024,454.32122100000004,450.5262664,45.01263122028149,400.273405,495.450667,10
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Medium,0.5,2048,193.463208,189.8906608,16.836230379819874,142.882378,200.192143,10
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,90.617114,90.4876861,2.038158161155497,87.145628,93.777329,10
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.25,1024,449.782856,449.9769783,46.863372110264244,403.85045,499.75046,10
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Medium,0.5,2048,193.085993,188.6212204,16.656398855053265,142.822248,199.454477,10
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,90.764274,90.41747939999999,1.3840444466051256,87.566025,92.158457,10
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.25,1024,409.1827445,428.4452652,55.21500207602083,322.292912,495.15648,10
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Medium,0.5,2048,193.01085,184.0913803,22.758045831526637,140.10302,200.356115,10
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,91.752828,93.7471837,5.415082213003849,86.98629,101.585972,10
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,Low,0.25,1024,449.4929275,448.61729130000003,42.31515889095084,404.729976,490.426885,10
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,Medium,0.5,2048,194.2613005,185.66580720000002,22.52785569615302,143.029199,206.542753,10
