node,transaction_id,median_ms_A,cv_pct_A,median_ms_B,cv_pct_B,signed_diff_pct,abs_diff_pct
low,0cfc0319-2ffc-5f74-b250-8430b05f4baa,70.001224,5.8461563444063,69.918658,5.384780606807372,-0.1179493661425119,0.1179493661425119
low,22ec8097-3f82-5206-b27a-1716510f8a15,42.973278,14.50317287983935,47.305135,14.975273034935771,10.080350398217234,10.080350398217234
low,4c47fd72-93b9-5bbe-8da2-5611d12202e7,52.545269,8.638087923587012,48.500143,14.871900209536438,-7.698363862215637,7.698363862215637
low,538a51c5-17e0-5514-b8f8-4932adef1d87,70.239742,4.60169670344163,70.377064,7.34213917039423,0.19550470444495296,0.19550470444495296
low,7cea622d-3b84-505d-9c0d-579d30336375,66.365366,6.616984805386824,60.14494,6.098483352190525,-9.37300036889723,9.37300036889723
low,84b2de13-d56e-5802-bbea-6a9c126d197a,60.279374,4.630138937497099,67.068885,7.182056363158811,11.263406617328172,11.263406617328172
low,84bc550d-9bc7-5b80-81d3-906a3d089c2c,56.819217,6.11970548750951,56.506398,7.0996707610946235,-0.5505514093937701,0.5505514093937701
low,94dc0552-c337-5087-9d12-6ab55c270d00,42.709217,8.509633862456303,38.807994,13.950165144897229,-9.13438192978345,9.13438192978345
low,dc657fb4-42d9-56de-8897-98d0fef45042,49.342705,2.213110581920031,49.041543,2.4271600277852636,-0.6103475680954359,0.6103475680954359
low,fd9f804b-556d-5363-a2af-a50d86cf6000,54.258837,6.834583559939741,56.790524,5.109488179637633,4.665944093125325,4.665944093125325
medium,0cfc0319-2ffc-5f74-b250-8430b05f4baa,46.257759,4.103577357964177,45.522874,4.206782909089995,-1.5886740211517778,1.5886740211517778
medium,22ec8097-3f82-5206-b27a-1716510f8a15,27.338948,7.957381662222897,27.836953,12.746215518103984,1.8215953298568868,1.8215953298568868
medium,4c47fd72-93b9-5bbe-8da2-5611d12202e7,32.692072,5.791123990442344,33.255231,3.821921339402222,1.7226164190510738,1.7226164190510738
medium,538a51c5-17e0-5514-b8f8-4932adef1d87,44.585869,5.799515593922496,43.922429,5.927225945936475,-1.4880050896843602,1.4880050896843602
medium,7cea622d-3b84-505d-9c0d-579d30336375,41.428684,4.023403322015166,40.396213,4.414233313204786,-2.4921646074975348,2.4921646074975348
medium,84b2de13-d56e-5802-bbea-6a9c126d197a,41.087868,6.097881038233471,40.359611,4.768608133487819,-1.772438034506924,1.772438034506924
medium,84bc550d-9bc7-5b80-81d3-906a3d089c2c,35.923896,4.8907891729778825,36.689472,8.673213872660082,2.131105156300427,2.131105156300427
medium,94dc0552-c337-5087-9d12-6ab55c270d00,27.286851,5.557179800726546,29.723314,9.762070366301298,8.929073567338348,8.929073567338348
medium,dc657fb4-42d9-56de-8897-98d0fef45042,32.524704,8.068864811455772,31.088775,6.292709891181232,-4.4148872192657045,4.4148872192657045
medium,fd9f804b-556d-5363-a2af-a50d86cf6000,39.237239,4.263638273672929,36.380833,3.7575562297054064,-7.279834343084129,7.279834343084129
high,0cfc0319-2ffc-5f74-b250-8430b05f4baa,36.070166,2.491226154762855,35.997117,0.973944983667002,-0.20251916777981413,0.20251916777981413
high,22ec8097-3f82-5206-b27a-1716510f8a15,21.338636,0.41696929592156645,21.401945,0.5339866014870712,0.2966871921897926,0.2966871921897926
high,4c47fd72-93b9-5bbe-8da2-5611d12202e7,25.491436,4.7604704534434115,24.797886,2.2327501467190465,-2.7207176559217845,2.7207176559217845
high,538a51c5-17e0-5514-b8f8-4932adef1d87,35.873052,1.8752569399762848,35.88988,3.1497689389012082,0.04690986426244618,0.04690986426244618
high,7cea622d-3b84-505d-9c0d-579d30336375,31.643833,2.4885087179831276,32.510643,2.6496180116881964,2.7392699234634468,2.7392699234634468
high,84b2de13-d56e-5802-bbea-6a9c126d197a,32.50735,1.8095343834070143,32.52223,1.717050393912083,0.04577426335889578,0.04577426335889578
high,84bc550d-9bc7-5b80-81d3-906a3d089c2c,29.063335,2.8450456488022113,29.597537,2.7952388217261452,1.838061598918364,1.838061598918364
high,94dc0552-c337-5087-9d12-6ab55c270d00,21.534295,1.0846265225152758,21.793665,0.42091899641048425,1.2044508538589285,1.2044508538589285
high,dc657fb4-42d9-56de-8897-98d0fef45042,24.883442,2.2911235612937655,25.408029,5.1581138783072875,2.108176995770924,2.108176995770924
high,fd9f804b-556d-5363-a2af-a50d86cf6000,28.244152,2.0232987231658206,29.19618,3.132371168558902,3.3707083859341873,3.3707083859341873
